otar_id,name,status,Decyzja,description_500,znaki,Uwagii WB,Uwagi Gosi,Uwagi Przemek
K01.30.10.KRVXM4,Zamek Trzewlin,ok,,"Zamek Trzewlin wzniesiono w XIV w. jako rycerską warownię w systemie obronnym doliny Dunajca. Założenie składało się z zamku górnego na planie kwadratu 40 × 40 m, otoczonego kamiennym murem, zamku dolnego oraz ufortyfikowanego podgrodzia, rozdzielonych suchą fosą. W XVII w. zamek popadł w ruinę i został rozebrany. Obecnie zachowały się jedynie niewielkie fragmenty murów oraz ślady fosy.",389,zmieniony  i zweryfikowany,nie widzę,
K01.30.10.ABAUD6,Zamek w Przegorzałach,ok,zostawiamy,"Zamek w Przegorzałach powstał w latach 1942-1944 jako reprezentacyjna rezydencja wzniesiona w czasie II wojny światowej. Budynek nawiązuje formą do romantycznych zamków nadreńskich  ma wydłużony, trzykondygnacyjny korpus, symetryczne ryzality, dwuspadowy dach oraz bogato opracowane elewacje z detalami z piaskowca. Od strony południowej znajdują się rozległe tarasy z widokiem na dolinę Wisły. Obecnie mieści hotel i restaurację.",430,,hotel,ok
K01.20.10.ZZWJE4,Pałac w Goli,ok,,"Pałac w Goli wzniesiono pod koniec XVIII w. dla Jana Radolińskiego, a budowę ukończono w 1827 r. Klasycystyczną rezydencję otacza zabytkowy park z dwoma stawami. We wnętrzach zachował się historyzujący, m.in. myśliwski wystrój oraz stylowe meble. Posiadłość należała później do Potworowskich. Obecnie pałac jest zachowany; mieścił ośrodek konferencyjny, a w 2024 r. został wystawiony na sprzedaż.",396,,acesslibity limited,ok
K01.30.10.ZMUFJS,Zamek w Piszu,ok,,"Zamek krzyżacki powstały w średniowieczu, zniszczony po II wojnie światowej, ruiny rozebrano. Zachowały się fragmenty murów",123,,,
K01.30.10.8NTQT2,Zamek w Rynie,ok,,"To Zamek w Rynie, wzniesiony przez Winricha von Kniprode w drugiej połowie XIV wieku na miejscu wcześniejszej drewnianej warowni. Pełnił funkcję siedziby komturów i wójtów, a po 1525 roku także starostów książęcych.   W XIX wieku przebudowano go na więzienie. Z pierwotnego założenia zachowały się m.in. wieża ze schodami i sklepienia piwniczne. Obecnie znajduje się tu hotel.",376,,hotel,można zwiedzać
K01.30.10.PSSRCS,Zamek w Reszlu,ok,,"Pochodzący z drugiej połowy XIV wieku zamek biskupi to w pełni zachowana, charakterystyczna warownia, którą w XV i XVI stuleciu dodatkowo rozbudowano i ufortyfikowano. Aż do pierwszego rozbioru Polski budowla pełniła funkcję reprezentacyjnej rezydencji biskupów, po czym zaadaptowano ją na więzienie. Po zniszczeniach spowodowanych pożarem w 1807 roku, obiekt odbudowano na potrzeby miejscowej społeczności ewangelickiej, dbając o zachowanie jego pierwotnej formy architektonicznej.",482,,,
K01.30.20.T1474V,Dwór obronny kapituły krakowskiej,ok,,"Dwór obronny kapituły krakowskiej w Pabianicach wzniesiono w XVI w. jako murowaną siedzibę administracyjną i rezydencjonalną kapituły. Budowla miała zwartą bryłę, funkcje mieszkalne i gospodarcze oraz elementy obronne odpowiadające charakterowi fortalicji. W kolejnych stuleciach obiekt był przebudowywany i adaptowany do nowych potrzeb. Obecnie jest zachowany jako cenny zabytek dawnej zabudowy rezydencjonalnej Pabianic.",422,,,
K01.30.10.TX19P7,Zamek w Kożuchowie,ok,,"Zamek w Kożuchowie wzniesiono w XIV w. jako gotycką warownię książęcą. Założenie obejmowało czworoboczny obwód murów, dziedziniec, zabudowę mieszkalną oraz wieżę, a w późniejszych stuleciach było wielokrotnie przebudowywane. W XVII w. zamek przekształcono w klasztor karmelitów, co zatarło część dawnych cech obronnych. Obecnie obiekt jest zachowany, odrestaurowany i pełni funkcje kulturalne oraz muzealne.",407,muzeum,,ok
K01.30.20.JKEUG6,Dwór obronny w Niwnicach,ok,,"Ruiny dworu Cunzendorf to pozostałości renesansowego dworu obronnego wzniesionego w 1597 roku, otoczonego niegdyś fosą i kamiennym mostem. Rezydencja była wielokrotnie przebudowywana, m. in. w 1647 i XIX wieku, zachowując cechy architektury obronno-dworskiej. Do dziś przetrwały malownicze ruiny otoczone dawnym parkiem, będące cennym świadectwem historii i dawnej kultury szlacheckiej Dolnego Śląska.",401,,,
K01.30.10.A76AYN,Zamek w Tucznie,ok,,"Zamek w Tucznie wzniesiono w XIV w. jako gotycką warownię rodu Wedlów, strzegącą pogranicza i szlaków prowadzących przez ziemię wałecką. Założenie obejmowało mury obronne, dziedziniec, zabudowę mieszkalną i wieże, a w XVI–XVII w. zostało przebudowane w renesansowo-barokową rezydencję. Po zniszczeniach II wojny światowej zamek odbudowano. Obecnie jest dobrze zachowany i pełni funkcje hotelowe, konferencyjne i kulturalne.",423,hotel,,ok
K01.20.10.CQ4DLT,Pałac w Sieniawie,ok,,"Pałac w Sieniawie wzniesiono w XVIII w. jako barokową rezydencję rodu Czartoryskich. Założenie obejmuje reprezentacyjny korpus pałacowy z oficynami, dziedzińcem i rozległym parkiem krajobrazowym. W kolejnych stuleciach obiekt był przebudowywany i modernizowany, zachowując rezydencjonalny charakter. Obecnie pałac jest odrestaurowany i pełni funkcje hotelowe, konferencyjne oraz reprezentacyjne.",395,hotel,opis,można zwiedzać
K01.30.10.M9NH6K,Zamek w Człuchowie,ok,,"Zamek w Człuchowie był jednym z najpotężniejszych założeń obronnych Zakonu Krzyżackiego, pod względem wielkości ustępującym jedynie siedzibie Wielkiego Mistrza w Malborku. Budowę warowni rozpoczęto po 1312 roku na strategicznym przesmyku między jeziorami, a prace trwały do około 1365 roku. Obiekt pełnił funkcję siedziby komtura i konwentu, chroniąc kluczowy szlak prowadzący z krajów niemieckich do Prus.",406,,,
K01.30.10.78N8DC,Zamek w Malborku,ok,,"Zamek w Malborku wznoszono od XIII w. jako główną warownię państwa zakonu krzyżackiego i siedzibę wielkich mistrzów. Monumentalny gotycki zespół z cegły obejmuje Zamek Wysoki, Średni i Przedzamcze, rozbudowany system murów, baszt, fos, bram oraz reprezentacyjne i sakralne wnętrza. Po licznych zniszczeniach był stopniowo odbudowywany. Obecnie jest znakomicie zachowany, mieści muzeum i znajduje się na Liście Światowego Dziedzictwa UNESCO.",440,,,
K01.30.10.T5YJD3,Zamek w Świerklańcu,ok,,"Zamek w Świerklańcu powstał w XIX w. jako neogotycka rezydencja rodu Henckel von Donnersmarck, wzniesiona w formie romantycznego zamku z wieżami, krenelażem i bogatym detalem historyzującym. Otaczał go rozległy park krajobrazowy i reprezentacyjne założenie rezydencjonalne. Po 1945 r. obiekt został zdewastowany, a następnie rozebrany. Obecnie po zamku zachowały się jedynie nieliczne relikty i elementy dawnego zespołu parkowego.",430,,,
K01.20.10.RV8R9E,Pałac w Boratynie,ok,,"Zespół pałacowo-parkowy w Boratynie to okazała, klasycystyczna rezydencja. Obiekt ten został wzniesiony bezpośrednio na zrębach i fundamentach późnośredniowiecznego dworu obronnego, funkcjonującego w tym miejscu już w XV stuleciu. Dzięki zachowaniu reliktów dawnej warowni w strukturze nowożytnej budowli, pałac stanowi doskonały przykład przekształcenia obiektu o charakterze militarnym w reprezentacyjną rezydencję mieszkalną.",428,,partial,ok
K01.30.10.1PEMZL,Zamek w Mrukowej,ok,,"Ukryte na zalesionym, stromym zboczu góry Zamczysko (568 m n.p.m.) w pobliżu wsi Mrukowa relikty zamku to jeden z najbardziej tajemniczych i niedostępnych obiektów obronnych w Karpatach. Ta wysokogórska fortalicja, położona na terenie Magurskiego Parku Narodowego, strzegła dawnego przejścia granicznego w kierunku Węgier. Początki zamku sięgają XIV wieku, kiedy wzniesiono tu kamienną strażnicę.",396,,,
K01.30.10.Z79SS2,Zamek w Krapkowicach,ok,,"Zamek w Krapkowicach powstał w średniowieczu jako siedziba książęca, a w kolejnych stuleciach był wielokrotnie przebudowywany. W XVI i XVII w. przekształcono go w renesansową, a następnie barokową rezydencję z wieloskrzydłową zabudową skupioną wokół dziedzińca. Z czasem utracił pierwotne funkcje obronne. Obecnie zachowany zespół zamkowy jest użytkowany i stanowi ważny element historycznej zabudowy Krapkowic.",411,,,
K01.30.10.N6VEUJ,Zamek w Gdańsku,ok,,"Warownia wzniesiona w latach 1335-1341 z inicjatywy wielkiego mistrza Dytryka z Altenburga na miejscu dawnego grodu książąt gdańskich, nad Motławą, między obecnymi ulicami Na Dylach, Dylinki, Rycerską, Karpią, Wapienniczą, Wartką i Sukienniczą; siedziba komtura, centrum Komendy Gdańskiej  najbogatszego i najbardziej wpływowego regionu państwa krzyżackiego. Po zamku pozostały jedynie fragmenty murów.",402,,,
K01.20.10.RF595M,Pałac w Strzekęcinie,ok,,"Pałac w Strzekęcinie wzniesiono w latach 1899–1901 w stylu neorenesansowym jako okazałą rezydencję z wieżą o romantycznych, zamkowych formach, na miejscu dawnej budowli obronnej. Pałac otoczono rozległym parkiem z tarasami, balustradami i elementami ogrodów klasycystycznych, renesansowych i barokowych. Po 1945 r. obiekt zmieniał funkcje i popadł w ruinę. Obecnie jest odrestaurowany i działa jako hotel Bursztynowy Pałac.",423,hotel,,
K01.30.10.FMXQYZ,Zamek w Bochotnicy,ok,,Ruiny zamku w Bochotnicy z XIV wieku. Po zamku zachowały się jedynie pojedyncze mury.  Do zamku można trafić leśną ścieżką odchodzącą od ul. Podzamcze 32 oraz 40. Wejście na teren ruin jest darmowe.,198,,,
K01.20.10.M19TWT,Pałac Leipzigera we Wrocławiu,nie,do wywalenia,"Dawny pałac zbudowany przez żydowskiego bankiera Ignatza (Ignacego) Leipzigera w latach 1872-1874, następnie budynek biurowy, obecnie (od 2022 r.) pięciogwiazdkowy hotel Altus Palace; położony przy ul. Wierzbowej 15 we Wrocławiu, w sąsiedztwie Parku Staromiejskiego.",266,,hotel,ok
K01.20.10.92WBCB,Pałac Oppersdorfów we Wrocławiu,nie,do wywalenia,"Barokowa rezydencja wzniesiona w latach 1714-1721 (lub 1714-1720) według projektu Christopha Hacknera dla hrabiny Anny Aloysy (lub Esterle) von Oppersdorff. W XIX w. obiekt przebudowany, zlikwidowano ogród; w latach 60. XX w. był Domem Drukarza.",245,,,
K01.20.10.SQT2R6,Pałac Schlegenbergów we Wrocławiu,nie,do wywalenia,"Znany również jako pałac książąt Hohenlohe, pałac Sinzendorfów, Bank Królewski, Cafe Royal  dawny pałac miejski znajdujący się na rogu ulicy Wita Stwosza 12 i ulicy Łaciarskiej 35 we Wrocławiu, wpisany do rejestru zabytków; najlepiej zachowany przykład surowego stylu klasycyzmu berlińskiego przełomu XVIII i XIX w. we Wrocławiu. Pałac wzniesiony w 1795 r. dla kupca Johanna Georga Schaffgotscha, następnie w rękach rodu Schaffgotschów; w 1808 r.",446,,,
K01.20.10.YLBT8P,Pałac Kornów w Pawłowicach,nie,wywalić,"Pałac Kornów w Pawłowicach wzniesiono w XIX w. jako reprezentacyjną rezydencję rodziny Kornów. Budowla otrzymała historyzującą formę z rozczłonkowaną bryłą, ryzalitami, wieżą i dekoracyjnym detalem architektonicznym, a całość otacza park krajobrazowy. ",252,,hotel,ok
K01.20.10.XKFTTT,Pałac w Bukowcu,ok,,"W drugiej połowie XVI wieku w Bukowcu powstał renesansowy dwór obronny otoczony fosą. Przez kolejne stulecia majątek wielokrotnie zmieniał właścicieli, a w XVIII wieku obiekt był stopniowo rozbudowywany. Największa przemiana nastąpiła pod koniec XVIII wieku, kiedy Friedrich Wilhelm von Reden przebudował dawną siedzibę w klasycystyczny pałac. W tym samym czasie założono rozległy park krajobrazowy w stylu angielskim, tworzący wraz z rezydencją romantyczny zespół pałacowo-parkowy.",482,,,
K01.20.10.LUNVXZ,Pałac w Bobrowie,ok,,"Ruiny pałacu z XIX wieku Wcześniej w tym miejscu znajdował się dwór a jeszcze wcześniej w XV w. inny murowany budynek, najprawdopodobniej zamek albo wieża strażnicza  obecnie pałac jest w stanie który nie nadaje się do zwiedzania, ale można go oglądać zza bramu",261,,,
K01.30.20.3QDXRX,Dwór obronny w Jędrzychowicach,ok,,"Dwór w Jędrzychowicach, obecnie w stanie ruiny, to obszerna rezydencja renesansowa z wieżą, wzniesiona w latach 1611-1625 na wcześniejszych fundamentach. W XIX wieku została rozbudowana. Po nacjonalizacji w 1945 roku obiekt uległ stopniowej degradacji i popadł w ruinę.",269,,,
K01.30.10.PXJT7X,Zamek Książ,ok,,"Zamek książęcy wzniesiony przez Bolka I pod koniec XIII wieku był jedną z najpotężniejszych piastowskich twierdz na Śląsku. Po licznych przebudowach w pierwszej połowie XVIII wieku przekształcono go w barokowy pałac. Po II wojnie światowej został przystosowany do nowych funkcji, a dziś mieści m.in. Muzeum Wnętrz, Muzeum Szkła i Porcelany oraz centrum kultury.",361,muzeum,,
K01.20.10.FFZMWT,Pałac w Lisnowie,ok,,"Pierwotny pałac wzniesiono prawdopodobnie jako budowlę obronną z inicjatywy Pawła von Biberstein-Orzechowskiego, ukończony w 1696 r. (o czym świadczył kartusz nad wejściem, zniszczony podczas remontu w latach 1969-70); obecny eklektyczny kształt nadał mu August Peterson, który nabył majątek w 1836 r. i rok później dostawił piętrową przybudówkę.",346,,czy nie zamek,
K01.30.20.PMYDM4,Dwór obronny w Boguszewie,ok,,"Dwór obronny w Boguszewie to cenny, choć stosunkowo mało znany zabytek budownictwa rezydencjonalno-obronnego z przełomu średniowiecza i renesansu. Stanowi interesujący przykład prywatnej fortalicji szlacheckiej, która mimo licznych przebudów zachowała ślady swojej dawnej, obronnej funkcji. Początki murowanej budowli sięgają przełomu XV i XVI wieku.",350,,,
K01.20.10.H89MFD,Pałac w Wybczu,nie,do wywalenia,"Eklektyczny pałac zbudowany w latach 1858-1861 (rozpoczęty w 1854 r.) z inicjatywy Juliusa Friedricha von Parparta, który odziedziczył dobra w 1852 r., według projektu toruńskiego architekta Wilhelma Martiniego. Obecnie pełniący funkcję szkoły.",244,,"limited, szkoła",usuniety
K01.30.10.3E3DQ2,Zamek Książąt Mazowieckich w Sochaczewie,ok,,"Zamek Książąt Mazowieckich w Sochaczewie wzniesiono w XIV w. jako gotycką warownię książęcą. Założenie obejmowało murowany obwód obronny, dziedziniec, zabudowę mieszkalną oraz wieżę, a jego położenie na wysokiej skarpie nad Bzurą wzmacniało walory obronne. W kolejnych stuleciach zamek przebudowywano i stopniowo tracił znaczenie. Obecnie zachował się w formie ruin, z fragmentami murów i reliktami dawnej zabudowy.",415,,,
K01.30.10.UVQSQ6,Zamek Górka,ok,,"Przebudowany w XIX wieku, powstał z połączenia kościoła, plebanii i pałacu w jeden obiekt. De facto pałac, zwyczajowo nazywany zamkiem z racji formy i wyglądu.",159,,,
K01.30.10.SX6VSE,Zamek Wojaczów,ok,,"Zamek Wojaczów, znany także jako Zamek Konradów. Wybudowany i zniszczony w średniowieczu, obecnie całkowita ruina. Zachował się kopiec i ruiny wieży mieszkalnej.",161,,,
K01.20.10.QDGQ55,Pałac w Ścinawce Średniej,ok,,"W Ścinawce Średniej zachował się drugi z miejscowych obiektów zamkowych, określany jako „dobra dolne”. Jego początki sięgają XIV wieku. Wewnątrz założenia znajduje się dawny dziedziniec ze studnią, wokół którego rozmieszczono zabudowania zamkowe. Choć zostały one wielokrotnie przekształcone, zachowały się między innymi renesansowe piwnice.",341,,,
K01.20.10.87HQR7,Pałac w Oleśnicy Małej,ok,,"Pałac w Oleśnicy Małej powstał z wcześniejszego zespołu klasztorno-rezydencjonalnego joannitów, rozwijanego od średniowiecza. Obecną formę uzyskał głównie w XVIII i XIX w., kiedy rozbudowano go w wieloskrzydłową rezydencję z dziedzińcem, wieżą i rozległym parkiem. W architekturze widoczne są elementy barokowe i późniejsze historyzujące. Obecnie pałac jest zachowany i użytkowany, a wraz z parkiem tworzy rozległy zespół zabytkowy.",432,,,
K01.30.20.F19XU8,Dwór obronny w Słupicach,ok,,"Ruiny dworu obronnego w Słupicach to pozostałość po szlacheckiej rezydencji z epoki renesansu, która wtopiła się w krajobraz dawnego folwarku. Obiekt wzniesiono w drugiej połowie XVI wieku  prawdopodobnie około 1589 roku  z inicjatywy rodu von Gaffron, jako murowaną siedzibę rodową o wyraźnych cechach obronnych, zabezpieczoną otaczającą go nawodnioną fosą. Budowla została założona na rzucie prostokąta, wzniesiona z kamienia łamanego oraz cegły i pierwotnie liczyła dwie kondygnacje.",486,,,
K01.30.10.HD6NHK,Zamek w Mirowie,ok,,"Zamek w Mirowie wzniesiono w XIV w. jako królewską warownię na wapiennym wzgórzu Jury Krakowsko-Częstochowskiej. Założenie obejmowało zamek górny z wieżą i zabudową mieszkalną, mury obronne oraz przedzamcze, dostosowane do skalistego terenu. W XVI w. zamek rozbudowano, lecz po zniszczeniach XVII w. popadł w ruinę. Obecnie zachowane mury i wieże są zabezpieczane i częściowo udostępniane turystycznie.",402,,zwiedzaanie full,zmienione
K01.30.10.5PMQ3E,Zamek w Olsztynie,ok,,"Zamek w Olsztynie wzniesiono w XIV w. jako królewską warownię strzegącą pogranicza i szlaku w rejonie Jury Krakowsko-Częstochowskiej. Założenie obejmowało zamek górny i dolny, mury obronne, zabudowę mieszkalną oraz charakterystyczne wieże, w tym cylindryczną i późniejszą czworoboczną. Po zniszczeniach XVII w. popadł w ruinę. Obecnie zachowane mury i wieże tworzą rozległą, zabezpieczoną ruinę udostępnioną turystycznie.",421,,,
K01.20.10.8DUTWM,Pałac w Koszęcinie,ok,,"Początki rezydencji w Koszęcinie sięgają XVII wieku, kiedy Andrzej Kochcicki wzniósł murowany zamek wraz z kaplicą. W kolejnych latach obiekt wielokrotnie zmieniał właścicieli, a w XIX wieku został przebudowany przez ród Hohenlohe-Ingelfingen w stylu klasycystycznym. Obecny pałac pochodzi z lat 1829-1830 i otoczony jest zabytkowym parkiem krajobrazowym. Po wojnie rezydencja pełniła różne funkcje, a od 1953 roku jest siedzibą Państwowego Zespołu Pieśni i Tańca „Śląsk” im. Stanisława Hadyny.",494,,,
K01.30.10.38S1M1,Zamek Pieskowa Skała,ok,,Pierwsze wzmianki o nim pochodzą z 1315 r. po II wojnie światowej zamek został przekazany ministerstwu rolnictwa a w 1950 r. przejęło go Ministerstwo Kultury i Sztuki i zaczęło na nim gruntowne prace remontowe. Obecnie zamek jest otwarty do zwiedzania z wieloma wystawami stałymi jak i czasowymi,295,muzeum,,
K01.30.20.5FW6GH,Dwór obronny w Czańcu,ok,,"Dwór obronny w Czańcu (woj. śląskie) to renesansowo-barokowa rezydencja z XVII wieku, wzniesiona przez rodów Stokstockich. Piętrowy budynek charakteryzuje się dwiema narożnymi basztami alkierzowymi nakrytymi dachem namiotowym oraz centralnym ryzalitem z głównym wjazdem. Obecnie obiekt jest zaniedbany.",302,,,
K01.30.10.9VCWY6,Zamek Czorsztyn,ok,,"Zamek Czorsztyn wzniesiono w XIV w. jako królewską warownię strzegącą szlaku przez Pieniny i granicy z Węgrami. Założenie obejmowało zamek górny i dolny, mury obronne, dziedzińce oraz zabudowę mieszkalną, wielokrotnie rozbudowywaną w kolejnych stuleciach. Po pożarze w XVIII w. popadł w ruinę. Obecnie zachowane mury i relikty zabudowy są zabezpieczone i udostępnione turystycznie.",381,,,
K01.30.10.EBCL8D,Zamek Dunajec w Niedzicy,ok,,"Zamek Dunajec w Niedzicy wzniesiono w XIV w. jako murowaną warownię strzegącą szlaku i granicy węgierskiej. Założenie obejmuje zamek górny i dolny, dziedzińce, mury obronne, wieże oraz zabudowę mieszkalną, wielokrotnie rozbudowywaną w kolejnych stuleciach. Zamek zachował czytelny układ średniowiecznej rezydencji obronnej. Obecnie jest dobrze zachowany, mieści muzeum i jest udostępniony turystycznie.",402,muzeum,,
K01.30.10.KK5FWE,Zamek w Oświęcimiu,ok,,"Zamek w Oświęcimiu to średniowieczna warownia o gotyckim rodowodzie, której początki sięgają XIII wieku. Najcenniejszym elementem jest zachowana wieża oraz dwukondygnacyjne skrzydło zamkowe z początku XVI wieku. Na wzgórzu zachowały się również fragmenty murów obronnych i bastei. Zamek był wielokrotnie przebudowywany po pożarach i zniszczeniach wojennych, jednak zachował swój historyczny charakter. W XX wieku przeszedł gruntowną renowację, a obecnie mieści siedzibę Muzeum Zamek w Oświęcimiu.",496,,,
K01.20.10.ZPKTPR,Pałac Tadeusza Stryjeńskiego w Krakowie,nie,do wywalenia,"Znany również jako willa „Pod Stańczykiem""  zabytkowa willa znajdująca się w Krakowie, w dzielnicy I Stare Miasto, przy ul. Stefana Batorego 12, wzniesiona w latach 1882-1883 według projektu samego Tadeusza Stryjeńskiego (1849-1943), znanego polskiego architekta tworzącego m.in. w stylu secesji. Budynek wzniesiony jako dom własny architekta, nazwany „Pod Stańczykiem"" od emblematu zdobiącego fasadę; parterowy dworek z pięknym ogrodem, w którym Stryjeński miał swoją pracownię.",479,,,
K01.20.10.NH3RU6,Pałac Czarkowskich w Krakowie,nie,wywalamy,"Zabytkowy budynek znajdujący się w Krakowie, w dzielnicy I Stare Miasto, przy ul. Straszewskiego 20, na Nowym Świecie, wpisany do rejestru zabytków pod nr A-327 z 6 sierpnia 1968. Został zaprojektowany przez Maksymiliana Nitscha w 1876 r. (lub 1878 r.), wzniesiony w stylu neorenesansowym, o wystroju przypominającym włoską willę; charakteryzuje się kolumnowymi loggiami nawiązującymi do starych miejskich budowli.",414,,,
K01.20.10.1VRMYD,Pałac Stadnickich w Krakowie,nie,do wywalenia,"Pałac Stadnickich w Krakowie powstał w XVIII w. jako miejska rezydencja magnacka, później kilkakrotnie przebudowywana. Budynek ma reprezentacyjny charakter, z regularną fasadą, osiowym układem wnętrz i detalem typowym dla architektury pałacowej epoki. W kolejnych stuleciach był adaptowany do nowych funkcji. Obecnie jest zachowany i stanowi element historycznej zabudowy centrum Krakowa.",388,to nie obronna,,
K01.30.10.9TWEGC,Zamek w Łące Prudnickiej,ok,,"Zamek w Łące Prudnickiej to renesansowa rezydencja wzniesiona w XVI wieku na miejscu wcześniejszego, XV-wiecznego zamku książąt niemodlińskich. Obiekt był później wielokrotnie przebudowywany, m.in. w XIX wieku w stylu neogotyckim, a po 1945 roku stopniowo popadał w ruinę.  Obecnie zachowały się wszystkie skrzydła zamkowe, jednak zabytek pozostaje nieużytkowany i niszczeje.",375,,,
K01.30.10.ZY3NRN,Zamek w Kole,ok,,"Zamek w Kole wzniesiono w XIV w. z inicjatywy Kazimierza Wielkiego jako gotycką warownię królewską nad Wartą. Założenie obejmowało obwód murów, dziedziniec, zabudowę mieszkalną oraz masywną wieżę obronną. W późniejszych stuleciach zamek tracił znaczenie i stopniowo popadał w ruinę. Obecnie zachowały się fragmenty murów obwodowych i wieży, tworzące trwałą ruinę udostępnioną turystycznie.",389,,,
K01.30.10.KFL5JA,Zamek w Dąbrównie,ok,,"Zamek w Dąbrównie wzniesiono na początku XIV w. jako gotycką warownię krzyżacką, powiązaną z systemem obronnym miasta. Początkowo powstało skrzydło północne, a w latach 1683–1696 dobudowano skrzydła wschodnie i południowe, przekształcając zamek w barokową rezydencję. W 1945 r. został spalony. Obecnie zachowały się przede wszystkim mury zewnętrzne i piwnice dawnego założenia.",377,,nie widzę,są resztki muru - poor
K01.30.10.6W5FTX,Zamek Kapituły Warmińskiej w Pieniężnie,ok,,"Zamek Kapituły Warmińskiej w Pieniężnie wzniesiono w XIV w. jako gotycką siedzibę administratora dóbr kapituły warmińskiej. Założenie obejmowało murowane skrzydła skupione wokół dziedzińca, mury obronne i wieżę, a jego układ był powiązany z fortyfikacjami miasta. W kolejnych stuleciach zamek przebudowywano i częściowo rozbierano. Obecnie zachowały się fragmenty murów i zabudowy dawnego zespołu zamkowego.",407,,,
K01.30.10.VHEQJ9,Zamek w Działdowie,ok,,"Zamek w Działdowie to gotycka warownia skrzydłowa wzniesiona przez Zakon Krzyżacki w latach 1344-1391. Usytuowany na bagnistym pograniczu krzyżacko-mazowieckim, obiekt pełnił kluczową rolę militarną, zabezpieczając południowe rubieże państwa zakonnego, oraz administracyjną jako siedziba prokuratora. Obecnie zamek w Działdowie prezentuje się jako częściowo zrekonstruowana, trwała ruina.",388,,,
K01.30.10.KU9YL9,Zamek Bykowskich w Bykach,ok,,"Zabytkowy zamek w Bykach obecnie znajdujący się w granicach miejscowości Piotrków Trybunalski, późnorenesansowa budowla na rzucie wydłużonego prostokąta po II wojnie światowej przeszedł na rzecz skarbu państwa. W latach 1959-1964 został odremontowany i przeznaczony na cele oświatowe. W dniu dzisiejszym znajduje się w nim Ośrodek Doradztwa Rolniczego.",352,,,
K01.30.10.CK7AKD,Zamek w Besiekierach,ok,,"Zamek w Besiekierach wzniesiono na przełomie XV i XVI w. jako ceglaną warownię rycerską otoczoną fosą. Założenie miało plan zbliżony do prostokąta, z dziedzińcem, budynkiem mieszkalnym i wysoką wieżą bramną. W XVII w. zamek przebudowano, nadając mu bardziej rezydencjonalny charakter. Po pożarze w XVIII w. stopniowo popadał w ruinę. Obecnie zachowane mury i wieża są zabezpieczone i udostępnione turystycznie.",410,,,
K01.30.10.H7JWVB,Zamek w Lubsku,ok,,"Zamek w Lubsku to cenny i dobrze zachowany zabytek architektury rezydencjonalno-obronnej, wkomponowany w strukturę miejską. Na przestrzeni wieków przeszedł spektakularną metamorfozę od surowej, średniowiecznej warowni do eleganckiego pałacu. Początki murowanego założenia obronnego sięgają XIV wieku. Obecnie zamek w Lubsku jest w pełni odrestaurowany i stanowi jeden z najważniejszych punktów na turystycznej mapie miasta.",423,,,
K01.30.10.AXEJ8L,Zamek w Siedlisku,ok,,"Zamek w Siedlisku wzniesiono na przełomie XVI i XVII w. jako renesansową rezydencję rodu von Schönaich. Założenie obejmowało wieloskrzydłową zabudowę z dziedzińcem, wieżami i elementami obronnymi, później rozbudowywaną w stylu barokowym. Po zniszczeniach w 1945 r. obiekt popadł w ruinę. Obecnie zachowały się fragmenty murów, wież, kaplicy i zabudowy dawnego zespołu zamkowego.",378,,,
K01.30.10.PBKGVV,Zamek Szczerba,ok,,"Zamek Szczerba wzniesiono w XIV w. jako kamienną warownię rycerską na planie nieregularnym, dostosowanym do skalistego terenu. Założenie obejmowało mury obronne, dziedziniec, zabudowę mieszkalną i wieżę. W kolejnych stuleciach zamek tracił znaczenie i popadł w ruinę. Obecnie zachowały się fragmenty murów obwodowych, relikty zabudowy i części wieży, tworzące trwałą ruinę.",373,,,
K01.30.20.LF73RV,Dwór obronny w Osetnie,ok,,"Dwór obronny w Osetnie wzniesiono w latach 1605–1620, a obecną formę uzyskał w wyniku XIX-wiecznej przebudowy. Trójskrzydłowe założenie otacza wewnętrzny dziedziniec i posiada okrągłą wieżę oraz dachy dwuspadowe. Na parterze zachowały się sklepienia i portal datowane na początek XVI w. W otoczeniu widoczne są relikty fosy i wałów ziemnych. Obecnie dwór zachował czytelną historyczną bryłę.",391,,,
K01.30.10.W662EN,Zamek Widuchowa,ok,,"Zamek w Widuchowej wzmiankowano wraz z komorą celną już w 1159 r. W 1700 r. Wulffowie, ówcześni właściciele miasta, wznieśli w tym miejscu nowy zamek obronny, który został zniszczony w 1730 r. Obecnie zachowały się jedynie relikty dawnego założenia, położone nad brzegiem Odry, około 200 m za kościołem.",303,,,
K01.30.10.1TSK5P,Zamek Kazimierzowski w Przemyślu,ok,,"Zamek zbudowany w stylu gotyckim przez Kazimierza Wielkiego w XIV w., następnie przebudowany w stylu renesansowym. Zniszczony w czasie rozbiorów, odbudowany w XIX w. Obecnie siedziba wielu instytucji kulturalnych.",213,,,
K01.20.10.UUNW49,Pałac w Kurozwękach,ok,,"Warownię wzniósł ród Kurozwęckich w drugiej połowie XIV wieku. W XV stuleciu została rozbudowana i dodatkowo ufortyfikowana. W kolejnych wiekach obiekt stopniowo zmieniał swój charakter  w XVII i XVIII wieku przekształcono go w rezydencję pałacową, najpierw w stylu barokowym, a następnie klasycystycznym. Obecnie zamek pozostaje własnością prywatną. Budowla zachowała się w bardzo dobrym stanie, a w 2003 roku przeszła prace renowacyjne.",438,,,
